HouseholdID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	OtherGroup	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself	Baseline_t2_pairs
4879	3	81	2014	1	2	Arguni	2	3	1	998	3	3	4	4	2	996	4	0	0		0	0	1	0	0	3	0		0	0	3	0	1		0	2	3	2	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	2	1	0	3	4	3	4	4	3	0
4878	3	81	2014	35	4	Koiwai	2	3	1	998	5	4	4	5	4	1	4	0	0		0	0	0	1	0	3	0		0	0	0	0	0		0	1	3	2	3	2	1	3	1	0	1	1	0	994	3	1	1	0	0	0	998	0	1	4	4	4	4	4	4	0
4877	3	81	2014	1	998	Mairasi	2	1	998	998	994	994	994	3	2	994	2	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	1	2	1	1	3	1	0	998	998	998	998	998	1	1	1	1	0	4	0	1	5	5	5	4	3	4	0
4876	3	81	2014	37	3.5	Asli pulau Adi	2	1	998	998	994	994	994	4	2	994	3	0	0		0	0	0	0	0	0	0		1	0	1	0	0		1	0	3	3	3	2	1	999	999	0	1	2	1	3	3	1	0	0	0	0	3	0	1	4	4	5	4	4	4	0
4875	3	81	2014	38	4	Koiwai	2	1	996	998	994	994	994	5	5	994	3	0	0		0	0	0	0	0	4	0		1	0	0	1	0		0	0	3	2	3	2	0	994	0	0	0	2	0	994	3	1	1	1	1	1	2	1	1	4	5	5	5	5	4	0
4874	3	81	2014	32	5	Dobo	2	1	7	7	994	994	994	4	2	994	3	0	0		0	0	0	1	1	4	0		1	0	6	1	2		0	1	3	3	3	2	0	994	0	0	0	1	0	994	3	1	1	1	1	0	4	1	1	5	4	5	4	4	4	0
4873	3	81	2014	30	3	Kisar	2	1	3	998	1	1	1	4	2	998	2	0	0		0	0	0	1	0	2	0		1	0	2	1	0		1	0	3	1	2	2	1	3	1	0	0	3	0	994	3	1	0	0	0	0	3	0	0	4	5	4	4	5	5	0
4872	3	81	2014	2	1.5	fakfak (kokas)	2	1	7	998	994	994	994	5	3	994	2	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	3	3	2	1	3	1	0	0	3	0	994	3	1	1	1	1	0	3	1	1	4	4	5	4	4	3	0
4871	3	81	2014	25	3	Maluku (Dobo)	2	1	998	998	994	994	994	4	2	994	3	0	0		0	0	1	1	0	1	0		1	0	4	1	1		1	1	3	1	2	2	0	3	1	0	0	1	0	994	3	1	1	1	1	0	4	0	1	4	4	4	4	4	4	0
4870	3	81	2014	16	4	Kei	2	996	3	1	1	1	1	3	4	1	3	0	0		0	0	0	1	0	1	0		0	0	0	0	0		0	0	3	2	3	3	1	3	1	0	1	2	0	994	3	1	1	1	1	0	4	1	0	5	4	5	5	3	5	0
4869	3	81	2014	18	5	Koiwai	2	996	1	998	994	994	994	4	5	994	2	0	0		0	0	1	1	0	3	0		1	0	0	0	0		1	1	3	3	3	3	0	994	0	0	0	3	0	994	3	1	0	0	0	0	3	0	0	5	4	4	4	3	4	0
4868	3	81	2014	38	997	Asli pulau Adi (Sawoka)	2	1	2	7	994	994	994	3	4	994	3	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	1	3	1	1	3	1	0	998	998	998	998	998	1	1	0	0	0	4	0	1	4	4	4	3	4	4	0
4867	3	81	2014	28	3	Bugis	2	3	1	998	1	1	1	4	3	1	3	0	0		0	0	0	1	0	1	0		0	0	0	0	0		1	0	3	3	3	1	0	994	0	0	0	2	0	994	3	1	1	0	0	0	4	0	1	5	4	5	4	5	5	0
4866	3	81	2014	44	3	Arguni	2	1	998	998	994	994	994	3	2	994	3	0	0		0	0	0	0	0	3	0		0	0	0	0	0		0	0	3	2	3	2	0	994	0	0	998	998	998	998	998	1	0	0	0	0	4	1	1	5	4	5	4	998	4	0
4865	3	81	2014	54	8	Karas	2	1	3	998	4	4	1	5	4	1	3	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	2	3	3	0	994	0	0	0	1	0	994	3	0	1	1	1	0	997	0	1	3	4	4	3	3	3	0
4864	3	81	2014	33	3	Kur	2	3	1	998	4	2	2	5	4	1	3	0	0		0	0	1	0	0	1	0		1	0	0	0	0		1	0	3	1	3	1	1	3	1	1	0	3	0	994	3	1	1	0	0	0	2	0	1	4	4	5	4	4	4	4864
4863	3	81	2014	43	3	Arguni	2	1	3	998	5	3	3	4	5	1	3	0	0		0	0	0	0	0	0	0		1	0	0	0	0		0	0	3	2	3	2	0	3	0	0	998	998	998	998	998	1	1	0	0	0	4	0	1	4	4	5	5	5	5	0
4862	3	81	2014	56	6	Koiwai	2	1	998	998	994	994	994	4	2	994	3	0	0		1	0	0	0	0	7	0		0	0	0	0	0		0	0	3	1	2	2	1	3	1	0	0	2	0	994	3	1	1	1	1	0	4	0	1	4	4	5	4	4	4	4862
4861	3	81	2014	41	4	Koiwai	2	1	3	998	2	3	4	3	2	1	2	0	0		1	0	1	0	0	5	0		0	0	0	0	0		0	0	3	2	3	2	0	994	0	0	0	3	0	994	3	1	1	1	0	0	3	0	1	4	4	5	3	4	4	4861
4860	3	81	2014	11	3	Baham	2	7	1	998	994	994	994	4	5	994	4	0	0		0	0	0	0	0	2	0		1	0	1	1	0		0	1	3	2	3	3	0	994	0	0	0	3	0	994	3	1	1	0	0	0	2	0	0	4	3	5	4	3	4	0
