HouseholdID	SettlementID	PaternalEthnicity	Eth.Num	Eth.Iso
623	46	BIAK NUMFOR	23	BHW
624	46	BIAK RAJA AMPAT	23	BHW
625	46	BIAK RAJA AMPAT	23	BHW
626	46	BIAK BESER	23	BHW
627	46	CHINA	49	FOR
628	46	BIAK RAJA AMPAT	23	BHW
629	46	BIAK BESER	23	BHW
630	46	BIAK RAJA AMPAT	23	BHW
631	46	BIAK BESER	23	BHW
632	46	SANGER	21	BHP
633	46	TERNATE	156	TFT
634	46	BIAK RAJA AMPAT	23	BHW
635	46	BIAK BESER	23	BHW
636	46	BIAK RAJA AMPAT	23	BHW
637	46	BIAK RAJA AMPAT	23	BHW
638	46	BIAK BESER	23	BHW
639	46	BIAK RAJA AMPAT	23	BHW
640	46	BIAK BESER	23	BHW
641	46	CHINA	49	FOR
642	46	BIAK BESER	23	BHW
643	46	BIAK RAJA AMPAT	23	BHW
644	46	BIAK RAJA AMPAT	23	BHW
645	46	BIAK BESER	23	BHW
646	46	BIAK RAJA AMPAT	23	BHW
647	46	BIAK RAJA AMPAT	23	BHW
648	46	TOBELO	157	TLB
649	46	BIAK BESER	23	BHW
650	46	BIAK BESER	23	BHW
651	46	BIAK RAJA AMPAT	23	BHW
652	46	BIAK BESER	23	BHW
653	46	BIAK BESER	23	BHW
654	46	BIAK	23	BHW
655	46	BIAK	23	BHW
656	46	BIAK NUMFOR	23	BHW
657	46	BIAK NUMFOR	23	BHW
658	46	TERNATE	156	TFT
659	46	BIAK BESER	23	BHW
660	46	BIAK RAJA AMPAT	23	BHW
661	46	BIAK RAJA AMPAT	23	BHW
662	46	BIAK RAJA AMPAT	23	BHW
663	46	BIAK BESER	23	BHW
664	46	BIAK BESER	23	BHW
665	47	MATBAT	180	XMT
666	47	MATBAT	180	XMT
667	47	MATBAT	180	XMT
668	47	MATBAT	180	XMT
669	47	MATBAT	180	XMT
670	47	WAIGEO	171	WGO
671	47	MATBAT	180	XMT
672	47	MATBAT	180	XMT
673	47	MATBAT	180	XMT
674	47	MATBAT	180	XMT
675	47	MATBAT	180	XMT
676	47	MATBAT	180	XMT
677	47	MATBAT	180	XMT
678	48	BIRA	77	KJC
679	48	SERAM	52	GES
680	48	TERNATE	156	TFT
681	48	MISOOL	102	MIS
682	48	TERNATE	156	TFT
683	48	MISOOL	102	MIS
684	48	BUTON	43	CIA
685	48	BUTON	43	CIA
686	48	MISOOL	102	MIS
687	49	BIAK	23	BHW
688	49	SERAM	52	GES
689	49	TERNATE	156	TFT
690	49	SERAM	52	GES
691	49	ARAB	49	FOR
692	49	KOKODA	181	XOD
693	49	SUMATERA	148	SUM
694	49	MISOOL	102	MIS
695	49	MISOOL	102	MIS
696	49	SERAM	52	GES
697	49	MISOOL	102	MIS
698	49	MISOOL	102	MIS
699	49	MALUKU	92	MAL
700	49	MISOOL	102	MIS
701	49	SERAM	52	GES
702	49	JAYAPURA	162	TTI
703	49	MISOOL	102	MIS
704	49	MISOOL	102	MIS
705	49	SERAM	52	GES
706	49	MALUKU	92	MAL
707	49	MISOOL	102	MIS
708	49	MISOOL	102	MIS
709	49	FAK-FAK	48	FAK
710	49	BIAK	23	BHW
711	49	MISOOL	102	MIS
712	49	TERNATE	156	TFT
713	50	MISOOL	102	MIS
714	50	MISOOL	102	MIS
715	50	TEMINABUAN	80	KPS
716	50	JAWA	66	JAV
717	50	MISOOL/MATBAT	180	XMT
718	50	MATBAT	180	XMT
719	50	SERAM	52	GES
720	50	SERAM	52	GES
721	50	GAMTA/MISOOL	129	RAJ
722	51	MISOOL	102	MIS
723	51	MISOOL	102	MIS
724	52	TERNATE	156	TFT
725	52	MATBAT	180	XMT
726	52	BUTON	43	CIA
727	52	MATBAT	180	XMT
728	52	MATBAT	180	XMT
729	52	MALUKU TENGARA	92	MAL
730	52	MATBAT	180	XMT
731	53	FAKFAK	48	FAK
732	53	SERAM	52	GES
733	53	MAYA (WAIGEO TELUK)	143	SLZ-WGO
734	53	FAKFAK	48	FAK
735	53	MISOOL	102	MIS
736	53	SORONG/SERAM	145	SOR
737	53	SERAM	52	GES
738	54	MISOOL	102	MIS
739	54	MISOOL	102	MIS
740	54	GORONTALO	56	GOR
741	54	MISOOL	102	MIS
742	54	MISOOL	102	MIS
743	54	SERAM	52	GES
744	54	MALUKU (GEBE)	92	MAL
745	54	MAKASAR	91	MAK
746	54	BUGIS	37	BUG
747	54	MISOOL	102	MIS
748	54	MISOOL	102	MIS
749	54	SERAM	52	GES
